+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|  38/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  39/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  39/0 |    |      |      | RFSH |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  40/1 |    |      |      |      |    |    |     |     |      | 000A | CD | 000A | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  40/0 |    | MREQ |      |      | RD |    |     |     |      | 000A | CD | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  41/1 |    | MREQ |      |      | RD |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  41/0 |    | MREQ |      |      | RD |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  42/1 |    | MREQ |      |      | RD |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  42/0 |    |      |      |      |    |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  43/1 |    |      |      |      |    |    |     |     |      | 000B | 1E | 000B | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  43/0 |    | MREQ |      |      | RD |    |     |     |      | 000B | 1E | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  44/1 |    | MREQ |      |      | RD |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  44/0 |    | MREQ |      |      | RD |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  45/1 |    | MREQ |      |      | RD |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  45/0 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  46/1 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  46/0 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | FFFF | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  47/1 |    |      |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  47/0 |    | MREQ |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  48/1 |    | MREQ |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  48/0 |    | MREQ |      |      |    | WR |     |     |      | FFFF | 00 | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  49/1 |    | MREQ |      |      |    | WR |     |     |      | FFFF | 00 | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  49/0 |    |      |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  50/1 |    |      |      |      |    |    |     |     |      | FFFE | 00 | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  50/0 |    | MREQ |      |      |    |    |     |     |      | FFFE | 0C | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  51/1 |    | MREQ |      |      |    |    |     |     |      | FFFE | 0C | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  51/0 |    | MREQ |      |      |    | WR |     |     |      | FFFE | 0C | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  52/1 |    | MREQ |      |      |    | WR |     |     |      | FFFE | 0C | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  52/0 |    |      |      |      |    |    |     |     |      | FFFE | 0C | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  53/1 | M1 |      |      |      |    |    |     |     |      | 001E | 00 | 000C | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  53/0 | M1 | MREQ |      |      | RD |    |     |     |      | 001E | 00 | 001F | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  54/1 | M1 | MREQ |      |      | RD |    |     |     |      | 001E | 21 | 001F | FFFE | CD | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  54/0 | M1 | MREQ |      |      | RD |    |     |     |      | 001E | 21 | 001F | FFFE | 00 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  55/1 |    |      |      | RFSH |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  55/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  56/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  56/0 |    |      |      | RFSH |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  57/1 |    |      |      |      |    |    |     |     |      | 001F | 21 | 001F | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  57/0 |    | MREQ |      |      | RD |    |     |     |      | 001F | 21 | 0020 | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  58/1 |    | MREQ |      |      | RD |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  58/0 |    | MREQ |      |      | RD |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  59/1 |    | MREQ |      |      | RD |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | 5555 | 5555 | FF FF | FF FF | LD HL,0050h  |
|  59/0 |    |      |      |      |    |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
|  60/1 |    |      |      |      |    |    |     |     |      | 0020 | 50 | 0020 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
|  60/0 |    | MREQ |      |      | RD |    |     |     |      | 0020 | 50 | 0021 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
|  61/1 |    | MREQ |      |      | RD |    |     |     |      | 0020 | 00 | 0021 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
|  61/0 |    | MREQ |      |      | RD |    |     |     |      | 0020 | 00 | 0021 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
