+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
| 43/1 |    | MREQ |      |      | RD |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 43/0 |    | MREQ |      |      | RD |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 44/1 |    | MREQ |      |      | RD |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 44/0 |    |      |      |      |    |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 45/1 |    |      |      |      |    |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 45/0 |    |      |      |      |    |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 46/1 |    |      |      |      |    |    | 000D | 40 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 46/0 |    | MREQ |      |      |    |    | 000D | 41 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 47/1 |    | MREQ |      |      |    |    | 000D | 41 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 47/0 |    | MREQ |      |      |    | WR | 000D | 41 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 48/1 |    | MREQ |      |      |    | WR | 000D | 41 | 000C | 002E | 34 | 5555 | 000D | 41 | INC (HL)     |
| 48/0 |    |      |      |      |    |    | 000D | 41 | 000C | 002E | 34 | 5555 | 000D | 41 | INC (HL)     |
| 49/1 | M1 |      |      |      |    |    | 000C | 40 | 000C | 002E | 34 | 5555 | 000D | 41 | RET          |
| 49/0 | M1 | MREQ |      |      | RD |    | 000C | 40 | 000D | 002E | 34 | 5555 | 000D | 41 | RET          |
| 50/1 | M1 | MREQ |      |      | RD |    | 000C | C9 | 000D | 002E | 34 | 5555 | 000D | 41 | RET          |
| 50/0 | M1 | MREQ |      |      | RD |    | 000C | C9 | 000D | 002E | 00 | 5555 | 000D | 41 | RET          |
| 51/1 |    |      |      | RFSH |    |    | 0004 | C9 | 000D | 002E | C9 | 5555 | 000D | 41 | RET          |
| 51/0 |    | MREQ |      | RFSH |    |    | 0004 | C9 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
| 52/1 |    | MREQ |      | RFSH |    |    | 0004 | C9 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
| 52/0 |    |      |      | RFSH |    |    | 0004 | C9 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
| 53/1 |    |      |      |      |    |    | 002E | C9 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
| 53/0 |    | MREQ |      |      | RD |    | 002E | C9 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
| 54/1 |    | MREQ |      |      | RD |    | 002E | 06 | 000D | 002E | C9 | 5501 | 000D | 41 | RET          |
