+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|ins/t | M1 | MREQ | IORQ | RFSH | RD | WR | INT | IFF | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | ieo | pio   | asm          |
| 10/19|    |      |      |      |    |    |     | 0,0 | 021D | CF | 001E | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/20|    |      |      |      |    |    |     | 0,0 | 021D | CF | 001E | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/21|    |      |      |      |    |    |     | 0,0 | 021D | CF | 001E | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001E | CF | 001F | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/2 |    |      |      |      |    |    |     | 0,0 | 001E | ED | 001F | FFFE | ED | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000D | ED | 001F | FFFE | ED | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/4 |    |      |      |      |    |    |     | 0,0 | 000D | ED | 001F | FFFE | ED | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001F | ED | 0020 | FFFE | ED | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/6 |    |      |      |      |    |    |     | 0,0 | 001F | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000E | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/8 |    |      |      |      |    |    |     | 0,0 | 000E | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/9 |    |      |      |      |    |    |     | 0,0 | 000E | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/10|    |      |      |      |    |    |     | 0,0 | 000E | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 11/11|    | MREQ |      |      | RD |    |     | 0,0 | 0051 | B3 | 0020 | FFFE | B3 | 0013 | 021D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/12|    |      |      |      |    |    |     | 0,0 | 0051 | FF | 0020 | FFFE | B3 | 0013 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/13|    |      |      |      |    |    |     | 0,0 | 0051 | FF | 0020 | FFFE | B3 | 0013 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/14|    |      | IORQ |      |    | WR |     | 0,0 | 011D | FF | 0020 | FFFE | B3 | 0013 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/15|    |      |      |      |    |    |     | 0,0 | 011D | FF | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/16|    |      |      |      |    |    |     | 0,0 | 011D | FF | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/17|    |      |      |      |    |    |     | 0,0 | 011D | FF | 001E | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/18|    |      |      |      |    |    |     | 0,0 | 011D | FF | 001E | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/19|    |      |      |      |    |    |     | 0,0 | 011D | FF | 001E | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/20|    |      |      |      |    |    |     | 0,0 | 011D | FF | 001E | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 11/21|    |      |      |      |    |    |     | 0,0 | 011D | FF | 001E | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001E | FF | 001F | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/2 |    |      |      |      |    |    |     | 0,0 | 001E | ED | 001F | FFFE | ED | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000F | ED | 001F | FFFE | ED | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/4 |    |      |      |      |    |    |     | 0,0 | 000F | ED | 001F | FFFE | ED | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001F | ED | 0020 | FFFE | ED | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/6 |    |      |      |      |    |    |     | 0,0 | 001F | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0010 | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/8 |    |      |      |      |    |    |     | 0,0 | 0010 | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/9 |    |      |      |      |    |    |     | 0,0 | 0010 | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/10|    |      |      |      |    |    |     | 0,0 | 0010 | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0052 | FF | 1,1 | FF,FF | OTIR         |
| 12/11|    | MREQ |      |      | RD |    |     | 0,0 | 0052 | B3 | 0020 | FFFE | B3 | 0017 | 011D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 12/12|    |      |      |      |    |    |     | 0,0 | 0052 | 07 | 0020 | FFFE | B3 | 0017 | 001D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 12/13|    |      |      |      |    |    |     | 0,0 | 0052 | 07 | 0020 | FFFE | B3 | 0017 | 001D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 12/14|    |      | IORQ |      |    | WR |     | 0,0 | 001D | 07 | 0020 | FFFE | B3 | 0017 | 001D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 12/15|    |      |      |      |    |    |     | 0,0 | 001D | 07 | 0020 | FFFE | B3 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 12/16|    |      |      |      |    |    |     | 0,0 | 001D | 07 | 0020 | FFFE | B3 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 13/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0020 | 07 | 0021 | FFFE | B3 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/2 |    |      |      |      |    |    |     | 0,0 | 0020 | 21 | 0021 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0011 | 21 | 0021 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/4 |    |      |      |      |    |    |     | 0,0 | 0011 | 21 | 0021 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/5 |    |      |      |      |    |    |     | 0,0 | 0011 | 21 | 0021 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/6 |    | MREQ |      |      | RD |    |     | 0,0 | 0021 | 21 | 0022 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/7 |    |      |      |      |    |    |     | 0,0 | 0021 | 53 | 0022 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/8 |    |      |      |      |    |    |     | 0,0 | 0021 | 53 | 0022 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/9 |    | MREQ |      |      | RD |    |     | 0,0 | 0022 | 53 | 0023 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 13/10|    |      |      |      |    |    |     | 0,0 | 0022 | 00 | 0023 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD HL,0053h  |
| 14/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0023 | 00 | 0024 | FFFE | 21 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 14/2 |    |      |      |      |    |    |     | 0,0 | 0023 | 06 | 0024 | FFFE | 06 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 14/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0012 | 06 | 0024 | FFFE | 06 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 14/4 |    |      |      |      |    |    |     | 0,0 | 0012 | 06 | 0024 | FFFE | 06 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 14/5 |    |      |      |      |    |    |     | 0,0 | 0012 | 06 | 0024 | FFFE | 06 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
