+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|    61 |    | MREQ |      |      | RD |    |     |     |      | 0020 | 50 | 0021 | FFFE | 21 | 0044 | FFFF | FF50 | FF FF | FF FF | LD HL,0050h  |
|    62 |    |      |      |      |    |    |     |     |      | 0020 | 00 | 0021 | FFFE | 21 | 0044 | FFFF | 0050 | FF FF | FF FF | LD HL,0050h  |
|    63 | M1 | MREQ |      |      | RD |    |     |     |      | 0021 | 00 | 0022 | FFFE | 21 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    64 |    |      |      |      |    |    |     |     |      | 0021 | 06 | 0022 | FFFE | 06 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    65 |    | MREQ |      | RFSH |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    66 |    |      |      |      |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    67 |    |      |      |      |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    68 |    | MREQ |      |      | RD |    |     |     |      | 0022 | 06 | 0023 | FFFE | 06 | 0044 | FFFF | 0050 | FF FF | FF FF | LD B,03h     |
|    69 |    |      |      |      |    |    |     |     |      | 0022 | 03 | 0023 | FFFE | 06 | 0044 | 03FF | 0050 | FF FF | FF FF | LD B,03h     |
|    70 | M1 | MREQ |      |      | RD |    |     |     |      | 0023 | 03 | 0024 | FFFE | 06 | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    71 |    |      |      |      |    |    |     |     |      | 0023 | 0E | 0024 | FFFE | 0E | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    72 |    | MREQ |      | RFSH |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    73 |    |      |      |      |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    74 |    |      |      |      |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    75 |    | MREQ |      |      | RD |    |     |     |      | 0024 | 0E | 0025 | FFFE | 0E | 0044 | 03FF | 0050 | FF FF | FF FF | LD C,1Dh     |
|    76 |    |      |      |      |    |    |     |     |      | 0024 | 1D | 0025 | FFFE | 0E | 0044 | 031D | 0050 | FF FF | FF FF | LD C,1Dh     |
|    77 | M1 | MREQ |      |      | RD |    |     |     |      | 0025 | 1D | 0026 | FFFE | 0E | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    78 |    |      |      |      |    |    |     |     |      | 0025 | ED | 0026 | FFFE | ED | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
