+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
|10/16|    |      |      |      |    |    | 011D | FF | 0017 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/17|    |      |      |      |    |    | 011D | FF | 0017 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|11/1 | M1 | MREQ |      |      | RD |    | 0017 | FF | 0018 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|11/2 |    |      |      |      |    |    | 0017 | ED | 0018 | FFFE | ED | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|11/3 |    | MREQ |      | RFSH |    |    | 000A | ED | 0018 | FFFE | ED | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|11/4 |    |      |      |      |    |    | 000A | ED | 0018 | FFFE | ED | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/1 | M1 | MREQ |      |      | RD |    | 0018 | ED | 0019 | FFFE | ED | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/2 |    |      |      |      |    |    | 0018 | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/3 |    | MREQ |      | RFSH |    |    | 000B | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/4 |    |      |      |      |    |    | 000B | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/5 |    |      |      |      |    |    | 000B | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/6 |    |      |      |      |    |    | 000B | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|12/7 |    | MREQ |      |      | RD |    | 0032 | B3 | 0019 | FFFE | B3 | FF17 | 011D | 0033 | FF | AA,FF | OTIR         |
|12/8 |    |      |      |      |    |    | 0032 | 07 | 0019 | FFFE | B3 | FF17 | 001D | 0033 | FF | AA,FF | OTIR         |
|12/9 |    |      |      |      |    |    | 0032 | 07 | 0019 | FFFE | B3 | FF17 | 001D | 0033 | FF | AA,FF | OTIR         |
|12/10|    |      | IORQ |      |    | WR | 001D | 07 | 0019 | FFFE | B3 | FF17 | 001D | 0033 | FF | AA,FF | OTIR         |
|12/11|    |      |      |      |    |    | 001D | 07 | 0019 | FFFE | B3 | FF40 | 001D | 0033 | FF | AA,FF | OTIR         |
|12/12|    |      |      |      |    |    | 001D | 07 | 0019 | FFFE | B3 | FF40 | 001D | 0033 | FF | AA,FF | OTIR         |
|13/1 | M1 | MREQ |      |      | RD |    | 0019 | 07 | 001A | FFFE | B3 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/2 |    |      |      |      |    |    | 0019 | 21 | 001A | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/3 |    | MREQ |      | RFSH |    |    | 000C | 21 | 001A | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/4 |    |      |      |      |    |    | 000C | 21 | 001A | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/5 |    |      |      |      |    |    | 000C | 21 | 001A | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/6 |    | MREQ |      |      | RD |    | 001A | 21 | 001B | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/7 |    |      |      |      |    |    | 001A | 33 | 001B | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/8 |    |      |      |      |    |    | 001A | 33 | 001B | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/9 |    | MREQ |      |      | RD |    | 001B | 33 | 001C | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|13/10|    |      |      |      |    |    | 001B | 00 | 001C | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD HL,0033h  |
|14/1 | M1 | MREQ |      |      | RD |    | 001C | 00 | 001D | FFFE | 21 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
